,id,zipcode,season,price,median_season,median_price,selling_price,selling_moment
0,2123039032,98070,Sep to Nov,369900.0,Dec to Feb,519000.0,480870.0,good
1,2123039032,98070,Sep to Nov,369900.0,Jun to Aug,465000.0,480870.0,good
2,2123039032,98070,Sep to Nov,369900.0,Mar to May,453750.0,480870.0,good
3,2123039032,98070,Sep to Nov,369900.0,Sep to Nov,428000.0,480870.0,good
4,3523029041,98070,Sep to Nov,290000.0,Dec to Feb,519000.0,377000.0,good
5,3523029041,98070,Sep to Nov,290000.0,Jun to Aug,465000.0,377000.0,good
6,3523029041,98070,Sep to Nov,290000.0,Mar to May,453750.0,377000.0,good
7,3523029041,98070,Sep to Nov,290000.0,Sep to Nov,428000.0,377000.0,good
8,8550001515,98070,Sep to Nov,429592.0,Dec to Feb,519000.0,558469.6,good
9,8550001515,98070,Sep to Nov,429592.0,Jun to Aug,465000.0,558469.6,good
10,8550001515,98070,Sep to Nov,429592.0,Mar to May,453750.0,558469.6,good
11,8550001515,98070,Sep to Nov,429592.0,Sep to Nov,428000.0,472551.2,bad
12,222029026,98070,Sep to Nov,340000.0,Dec to Feb,519000.0,442000.0,good
13,222029026,98070,Sep to Nov,340000.0,Jun to Aug,465000.0,442000.0,good
14,222029026,98070,Sep to Nov,340000.0,Mar to May,453750.0,442000.0,good
15,222029026,98070,Sep to Nov,340000.0,Sep to Nov,428000.0,442000.0,good
16,5216200090,98070,Jun to Aug,385000.0,Dec to Feb,519000.0,500500.0,good
17,5216200090,98070,Jun to Aug,385000.0,Jun to Aug,465000.0,500500.0,good
18,5216200090,98070,Jun to Aug,385000.0,Mar to May,453750.0,500500.0,good
19,5216200090,98070,Jun to Aug,385000.0,Sep to Nov,428000.0,500500.0,good
